Key,Route Code,SUBROUTE,Dominant Marketing Airline,합계 : Pax,OBD,Weight
G/HND,G/HND,GMP-HND,,"146,608 ",0 ,0%
G/KIX7C,G/KIX,GMP-KIX,7C,"3,054 ","21,420 ",14%
G/KIXH1,G/KIX,GMP-KIX,H1,55 ,0 ,0%
G/KIXJL,G/KIX,GMP-KIX,JL,17 ,0 ,0%
G/KIXKE,G/KIX,GMP-KIX,KE,"21,295 ","23,176 ",92%
G/KIXNH,G/KIX,GMP-KIX,NH,44 ,0 ,0%
G/KIXOZ,G/KIX,GMP-KIX,OZ,"23,139 ","25,562 ",91%
I/CTS7C,I/CTS,ICN-CTS,7C,"8,632 ","21,623 ",40%
I/CTSET,I/CTS,ICN-CTS,ET,2 ,0 ,0%
I/CTSH1,I/CTS,ICN-CTS,H1,49 ,0 ,0%
I/CTSJL,I/CTS,ICN-CTS,JL,8 ,0 ,0%
I/CTSKE,I/CTS,ICN-CTS,KE,"35,852 ","35,529 ",101%
I/CTSLJ,I/CTS,ICN-CTS,LJ,"14,784 ","40,948 ",36%
I/CTSNH,I/CTS,ICN-CTS,NH,48 ,0 ,0%
I/CTSOZ,I/CTS,ICN-CTS,OZ,"17,414 ","17,868 ",97%
I/CTSTW,I/CTS,ICN-CTS,TW,"4,542 ","20,204 ",22%
I/CTSZE,I/CTS,ICN-CTS,ZE,"7,421 ","23,039 ",32%
I/CTSWE,I/CTS,ICN-CTS,WE,"7,811 ","12,791 ",61%
I/FUK7C,I/FUK,ICN-FUK,7C,"6,021 ","44,890 ",13%
I/FUKBX,I/FUK,ICN-FUK,BX,"19,502 ","25,476 ",77%
I/FUKDL,I/FUK,ICN-FUK,DL,7 ,0 ,0%
I/FUKH1,I/FUK,ICN-FUK,H1,26 ,0 ,0%
I/FUKJL,I/FUK,ICN-FUK,JL,63 ,0 ,0%
I/FUKKE,I/FUK,ICN-FUK,KE,"34,686 ","35,161 ",99%
I/FUKLJ,I/FUK,ICN-FUK,LJ,"10,101 ","53,169 ",19%
I/FUKNH,I/FUK,ICN-FUK,NH,32 ,0 ,0%
I/FUKOZ,I/FUK,ICN-FUK,OZ,"9,815 ","9,411 ",104%
I/FUKRS,I/FUK,ICN-FUK,RS,"11,808 ","22,216 ",53%
I/FUKTW,I/FUK,ICN-FUK,TW,"9,819 ","33,134 ",30%
I/FUKOM,I/FUK,ICN-FUK,OM,1 ,0 ,0%
I/FUKZE,I/FUK,ICN-FUK,ZE,"8,578 ","32,534 ",26%
I/KIX7C,I/KIX,ICN-KIX,7C,"10,013 ","68,066 ",15%
I/KIXBX,I/KIX,ICN-KIX,BX,"13,111 ","30,637 ",43%
I/KIXDL,I/KIX,ICN-KIX,DL,24 ,0 ,0%
I/KIXH1,I/KIX,ICN-KIX,H1,117 ,0 ,0%
I/KIXJL,I/KIX,ICN-KIX,JL,28 ,0 ,0%
I/KIXKE,I/KIX,ICN-KIX,KE,"32,668 ","32,933 ",99%
I/KIXLJ,I/KIX,ICN-KIX,LJ,"10,595 ","54,512 ",19%
I/KIXNH,I/KIX,ICN-KIX,NH,26 ,0 ,0%
I/KIXOZ,I/KIX,ICN-KIX,OZ,"29,594 ","30,897 ",96%
I/KIXRS,I/KIX,ICN-KIX,RS,"16,650 ","32,495 ",51%
I/KIXTW,I/KIX,ICN-KIX,TW,"6,442 ","31,359 ",21%
I/KIXEY,I/KIX,ICN-KIX,EY,8 ,0 ,0%
I/KIXOM,I/KIX,ICN-KIX,OM,1 ,0 ,0%
I/KIXZE,I/KIX,ICN-KIX,ZE,"3,233 ","20,570 ",16%
I/KIXWE,I/KIX,ICN-KIX,WE,"5,800 ","9,807 ",59%
I/NGO7C,I/NGO,ICN-NGO,7C,"4,470 ","26,375 ",17%
I/NGODL,I/NGO,ICN-NGO,DL,2 ,0 ,0%
I/NGOH1,I/NGO,ICN-NGO,H1,21 ,0 ,0%
I/NGOJL,I/NGO,ICN-NGO,JL,13 ,0 ,0%
I/NGOKE,I/NGO,ICN-NGO,KE,"15,543 ","14,056 ",111%
I/NGOLJ,I/NGO,ICN-NGO,LJ,"4,505 ","20,870 ",22%
I/NGONH,I/NGO,ICN-NGO,NH,26 ,0 ,0%
I/NGOOZ,I/NGO,ICN-NGO,OZ,"16,909 ","17,215 ",98%
I/NGOEY,I/NGO,ICN-NGO,EY,1 ,0 ,0%
I/NRT7C,I/NRT,ICN-NRT,7C,"13,892 ","69,255 ",20%
I/NRTBX,I/NRT,ICN-NRT,BX,"19,352 ","25,105 ",77%
I/NRTDL,I/NRT,ICN-NRT,DL,49 ,0 ,0%
I/NRTET,I/NRT,ICN-NRT,ET,"4,851 ","5,001 ",97%
I/NRTH1,I/NRT,ICN-NRT,H1,315 ,0 ,0%
I/NRTJL,I/NRT,ICN-NRT,JL,153 ,0 ,0%
I/NRTKE,I/NRT,ICN-NRT,KE,"42,287 ","44,197 ",96%
I/NRTLJ,I/NRT,ICN-NRT,LJ,"12,689 ","53,943 ",24%
I/NRTNH,I/NRT,ICN-NRT,NH,21 ,0 ,0%
I/NRTOZ,I/NRT,ICN-NRT,OZ,"36,444 ","41,176 ",89%
I/NRTRS,I/NRT,ICN-NRT,RS,"23,456 ","35,402 ",66%
