출발 월 ,출발 시간대,노선,KE취항여부,Travel Month,Op Airline Code,Origin Country / Subregion,Origin Code,Destination Country / Subregion,Destination Code,Dep Time,Flights,Seats
2026-09,오후 (12:35~),C/HIJ,미취항,Sep 2026,7C,South Korea,CJU,Japan,HIJ,1855,1,189
2026-09,오전 (~12:35),G/KIX,취항,Sep 2026,7C,South Korea,GMP,Japan,KIX,0810,7,"1,323"
2026-09,오후 (12:35~),G/KIX,취항,Sep 2026,7C,South Korea,GMP,Japan,KIX,1355,7,"1,323"
2026-09,오전 (~12:35),I/CTS,취항,Sep 2026,7C,South Korea,ICN,Japan,CTS,0710,7,"1,323"
2026-09,오후 (12:35~),I/CTS,취항,Sep 2026,7C,South Korea,ICN,Japan,CTS,1215,7,"1,323"
2026-09,오전 (~12:35),I/FSZ,미취항,Sep 2026,7C,South Korea,ICN,Japan,FSZ,0705,7,"1,323"
2026-09,오후 (12:35~),I/FSZ,미취항,Sep 2026,7C,South Korea,ICN,Japan,FSZ,1455,7,"1,323"
2026-09,오전 (~12:35),I/FUK,취항,Sep 2026,7C,South Korea,ICN,Japan,FUK,0630,7,"1,323"
2026-09,오전 (~12:35),I/FUK,취항,Sep 2026,7C,South Korea,ICN,Japan,FUK,0945,7,"1,323"
2026-09,오전 (~12:35),I/FUK,취항,Sep 2026,7C,South Korea,ICN,Japan,FUK,1110,7,"1,323"
2026-09,오후 (12:35~),I/FUK,취항,Sep 2026,7C,South Korea,ICN,Japan,FUK,1515,7,"1,323"
2026-09,오후 (12:35~),I/FUK,취항,Sep 2026,7C,South Korea,ICN,Japan,FUK,1720,7,"1,323"
2026-09,오후 (12:35~),I/FUK,취항,Sep 2026,7C,South Korea,ICN,Japan,FUK,1810,2,378
2026-09,오전 (~12:35),I/HIJ,취항,Sep 2026,7C,South Korea,ICN,Japan,HIJ,0745,7,"1,323"
2026-09,오후 (12:35~),I/HIJ,취항,Sep 2026,7C,South Korea,ICN,Japan,HIJ,1200,7,"1,323"
2026-09,오전 (~12:35),I/KIX,취항,Sep 2026,7C,South Korea,ICN,Japan,KIX,0710,7,"1,323"
2026-09,오전 (~12:35),I/KIX,취항,Sep 2026,7C,South Korea,ICN,Japan,KIX,0755,7,"1,218"
2026-09,오전 (~12:35),I/KIX,취항,Sep 2026,7C,South Korea,ICN,Japan,KIX,0905,7,"1,323"
2026-09,오전 (~12:35),I/KIX,취항,Sep 2026,7C,South Korea,ICN,Japan,KIX,1040,7,"1,218"
2026-09,오후 (12:35~),I/KIX,취항,Sep 2026,7C,South Korea,ICN,Japan,KIX,1405,7,"1,218"
2026-09,오후 (12:35~),I/KIX,취항,Sep 2026,7C,South Korea,ICN,Japan,KIX,1700,7,"1,323"
2026-09,오후 (12:35~),I/KIX,취항,Sep 2026,7C,South Korea,ICN,Japan,KIX,1920,7,"1,323"
2026-09,오전 (~12:35),I/MYJ,미취항,Sep 2026,7C,South Korea,ICN,Japan,MYJ,0700,7,"1,323"
2026-09,오후 (12:35~),I/MYJ,미취항,Sep 2026,7C,South Korea,ICN,Japan,MYJ,1315,7,"1,323"
2026-09,오전 (~12:35),I/NGO,취항,Sep 2026,7C,South Korea,ICN,Japan,NGO,0930,7,"1,218"
2026-09,오후 (12:35~),I/NGO,취항,Sep 2026,7C,South Korea,ICN,Japan,NGO,1505,7,"1,323"
2026-09,오전 (~12:35),I/NRT,취항,Sep 2026,7C,South Korea,ICN,Japan,NRT,0810,7,"1,323"
2026-09,오전 (~12:35),I/NRT,취항,Sep 2026,7C,South Korea,ICN,Japan,NRT,0945,7,"1,323"
2026-09,오전 (~12:35),I/NRT,취항,Sep 2026,7C,South Korea,ICN,Japan,NRT,1025,7,"1,323"
2026-09,오후 (12:35~),I/NRT,취항,Sep 2026,7C,South Korea,ICN,Japan,NRT,1320,7,"1,323"
2026-09,오후 (12:35~),I/NRT,취항,Sep 2026,7C,South Korea,ICN,Japan,NRT,1345,7,"1,323"
2026-09,오후 (12:35~),I/NRT,취항,Sep 2026,7C,South Korea,ICN,Japan,NRT,1500,7,"1,323"
2026-09,오후 (12:35~),I/NRT,취항,Sep 2026,7C,South Korea,ICN,Japan,NRT,1625,7,"1,293"
2026-09,오전 (~12:35),I/OIT,취항,Sep 2026,7C,South Korea,ICN,Japan,OIT,1000,3,567
2026-09,오후 (12:35~),I/OKA,취항,Sep 2026,7C,South Korea,ICN,Japan,OKA,1315,7,"1,323"
2026-09,오후 (12:35~),I/UKB,취항,Sep 2026,7C,South Korea,ICN,Japan,UKB,1320,7,"1,323"
2026-09,오전 (~12:35),P/CTS,미취항,Sep 2026,7C,South Korea,PUS,Japan,CTS,1100,5,945
2026-09,오전 (~12:35),P/FUK,미취항,Sep 2026,7C,South Korea,PUS,Japan,FUK,0700,7,"1,323"
2026-09,오후 (12:35~),P/FUK,미취항,Sep 2026,7C,South Korea,PUS,Japan,FUK,1305,7,"1,323"
2026-09,오전 (~12:35),P/KIX,미취항,Sep 2026,7C,South Korea,PUS,Japan,KIX,0805,7,"1,323"
2026-09,오후 (12:35~),P/KIX,미취항,Sep 2026,7C,South Korea,PUS,Japan,KIX,1630,6,"1,134"
2026-09,오후 (12:35~),P/KIX,미취항,Sep 2026,7C,South Korea,PUS,Japan,KIX,1700,1,189
2026-09,오전 (~12:35),P/NRT,취항,Sep 2026,7C,South Korea,PUS,Japan,NRT,0730,7,"1,323"
2026-09,오전 (~12:35),P/NRT,취항,Sep 2026,7C,South Korea,PUS,Japan,NRT,1100,7,"1,323"
